,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
146,Warta Poznań,Legia Warszawa,A,0,3,6,48,52,5,9,2,6,3,3,,,,,7,2,1,1,,,3,2,12,10,,,2.0,1.0,,,394.0,458.0,,,83.0,97.0,54.0,50.0,6.699999999999998,1.54,4.325,2020-11-02
145,Cracovia,Jagiellonia Białystok,H,3,1,9,53,47,10,10,5,6,5,4,,,,,3,7,1,4,,,5,3,23,18,,,1.0,4.0,,,299.0,283.0,,,84.0,76.0,37.0,47.0,2.285,3.375,3.375,2020-11-07
229,Stal Mielec,Warta Poznań,A,0,1,9,63,37,10,14,5,4,5,10,,,,,5,10,1,0,,,3,5,12,11,0.0,1.0,2.0,1.0,,,505.0,204.0,,,80.0,66.0,49.0,56.0,2.675,2.86,3.285,2020-11-07
228,Śląsk Wrocław,Górnik Zabrze,D,0,0,10,57,43,13,16,5,3,8,13,,,,,5,5,1,0,,,3,5,12,13,,,3.0,2.0,,,394.0,257.0,,,135.0,116.0,70.0,101.0,2.46,2.92,3.555,2020-11-07
144,Raków Częstochowa,Wisła Kraków,D,0,0,9,49,51,14,13,5,3,9,10,,,,,10,4,1,0,,,3,5,14,13,,,0.0,2.0,,,318.0,361.0,,,92.0,86.0,69.0,49.0,1.685,4.925,4.225,2020-11-08
227,Legia Warszawa,Lech Poznań,H,2,1,9,53,47,16,12,7,7,9,5,,,,,8,6,2,1,,,6,5,9,8,,,1.0,0.0,,,462.0,403.0,,,89.0,80.0,68.0,62.0,2.68,2.68,3.5,2020-11-08
226,Pogoń Szczecin,Podbeskidzie B-B,D,1,1,10,60,40,16,12,5,1,11,11,,,,,13,3,1,3,,,0,4,14,17,,,2.0,3.0,,,372.0,237.0,,,99.0,83.0,105.0,57.0,1.56,6.0,4.5299999999999985,2020-11-09
143,Górnik Zabrze,Piast Gliwice,A,1,2,9,56,44,15,7,6,4,9,3,,,,,9,2,0,5,,,2,5,13,11,,,1.0,1.0,,,447.0,343.0,,,91.0,57.0,50.0,25.0,2.85,2.575,3.405,2020-11-20
225,Lechia Gdańsk,Śląsk Wrocław,H,3,2,9,63,37,15,15,5,4,10,11,,,,,4,7,2,1,,,2,2,12,20,,,3.0,1.0,,,467.0,251.0,,,,,,,2.35,3.225,3.35,2020-11-20
142,Warta Poznań,Wisła Kraków,H,2,1,10,35,65,8,15,3,3,5,12,,,,,5,9,1,2,,,2,1,17,19,,,2.0,2.0,,,209.0,479.0,,,77.0,112.0,47.0,75.0,3.1,2.48,3.185,2020-11-21
224,Zagłębie Lubin,Stal Mielec,D,2,2,10,61,39,16,12,6,4,10,8,,,,,8,2,0,2,,,2,4,18,10,,,1.0,3.0,,,469.0,280.0,,,111.0,88.0,97.0,67.0,1.635,5.15,4.275,2020-11-21
141,Lech Poznań,Raków Częstochowa,D,3,3,10,63,37,14,19,6,12,8,7,,,,,6,8,0,2,,,9,3,13,17,,,2.0,4.0,,,482.0,297.0,,,106.0,81.0,56.0,62.0,2.135,3.375,3.68,2020-11-22
140,Cracovia,Legia Warszawa,A,0,1,10,50,50,12,13,3,4,9,9,,,,,5,5,0,4,,,3,3,15,15,,,2.0,1.0,,,294.0,303.0,,,95.0,101.0,86.0,68.0,4.25,1.91,3.6,2020-11-22
139,Piast Gliwice,Lechia Gdańsk,H,2,0,10,34,66,6,15,3,5,3,10,,,,,0,9,2,3,,,5,1,19,20,,,2.0,3.0,,,267.0,510.0,,,75.0,132.0,48.0,111.0,2.525,2.86,3.45,2020-11-23
