,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
94,Podbeskidzie B-B,Zagłębie Sosnowiec,H,4,1,59,41,16,8,11,3,5,3,0.0,2.0,20,18,4,3,5.0,0.0,,,2,7,14.0,20.0,0.0,1.0,2,3,,,,,,,89,56,51,35,1.78,4.300000000000002,3.755,2019-11-16
45,Warta Poznań,Stal Mielec,A,0,2,57,43,12,10,1,4,9,4,2.0,2.0,21,14,9,7,1.0,2.0,,,2,1,13.0,19.0,,,1,2,,,,,,,89,85,58,45,2.58,2.77,3.185,2019-11-17
93,Wigry Suwałki,Stal Mielec,A,0,3,59,41,5,6,1,4,4,2,0.0,0.0,10,14,7,1,1.0,3.0,,,1,1,13.0,8.0,,,1,1,,,,,,,86,56,37,27,4.155,1.855,3.53,2019-11-22
44,Podbeskidzie B-B,Chojniczanka,H,2,1,66,34,22,12,4,4,11,7,7.0,1.0,17,20,4,4,4.0,0.0,,,3,2,17.0,17.0,,,2,3,,,,,,,90,57,62,25,1.46,6.51,4.45,2019-11-22
43,GKS Bełchatów,Warta Poznań,A,1,2,46,54,10,12,2,5,6,5,2.0,2.0,13,19,2,8,5.0,2.0,,,3,1,14.0,11.0,,,1,5,,,,,,,67,79,39,46,2.94,2.43,3.18,2019-11-23
42,Stal Mielec,Podbeskidzie B-B,H,2,1,49,51,15,16,8,6,4,4,3.0,6.0,13,14,6,8,2.0,3.0,,,5,6,13.0,10.0,0.0,1.0,2,1,,,,,,,75,100,40,63,2.3,3.02,3.37,2019-11-30
41,Warta Poznań,Wigry Suwałki,H,3,0,56,44,11,17,3,3,4,4,4.0,10.0,12,25,4,1,5.0,2.0,,,3,0,20.0,10.0,,,2,4,,,,,,,98,67,45,37,1.6749999999999998,4.755000000000001,3.85,2019-12-01
40,Olimpia Grudziądz,Stal Mielec,A,0,5,57,43,15,25,4,14,8,9,3.0,2.0,13,11,1,10,2.0,0.0,,,9,4,9.0,13.0,,,1,0,,,,,,,119,94,50,55,3.66,1.975,3.55,2020-03-01
39,Podbeskidzie B-B,Wigry Suwałki,H,4,0,61,39,24,3,12,2,10,1,2.0,0.0,15,21,10,1,5.0,1.0,,,2,8,16.0,14.0,0.0,1.0,2,0,,,,,,,89,50,71,19,1.4249999999999998,7.3900000000000015,4.475,2020-03-01
38,Warta Poznań,Radomiak Radom,H,3,0,47,53,16,10,6,5,6,1,4.0,4.0,16,13,8,9,1.0,2.0,,,5,3,12.0,14.0,,,2,2,,,,,,,71,81,39,50,2.435,2.975,3.1500000000000004,2020-03-02
37,Stal Mielec,Bruk-Bet T.,A,0,3,55,45,15,11,3,5,8,5,4.0,1.0,21,19,11,2,1.0,5.0,,,2,3,19.0,16.0,,,4,2,,,,,,,91,79,60,46,1.71,4.6,3.855,2020-03-08
36,Podbeskidzie B-B,Warta Poznań,H,2,0,56,44,26,2,8,2,11,0,7.0,0.0,12,25,11,2,2.0,1.0,,,2,6,23.0,11.0,0.0,1.0,3,3,,,,,,,75,53,46,27,2.13,3.315,3.41,2020-03-09
35,Miedź Legnica,Stal Mielec,A,1,2,63,37,15,12,3,4,9,5,3.0,3.0,19,9,6,8,0.0,0.0,19.0,15.0,2,2,9.0,20.0,0.0,1.0,1,3,,,,,,,93,52,47,28,2.6500000000000004,2.67,3.3,2020-06-02
34,GKS Jastrzębie,Warta Poznań,A,1,2,47,53,13,10,5,3,5,4,3.0,3.0,17,30,9,7,5.0,0.0,,,1,4,25.0,17.0,,,3,3,,,,,,,76,95,53,55,2.685,2.625,3.25,2020-06-03
33,Olimpia Grudziądz,Podbeskidzie B-B,A,1,2,52,48,11,15,2,7,6,5,3.0,3.0,16,14,1,6,2.0,1.0,,,5,1,13.0,15.0,,,1,1,,,,,,,90,89,59,84,4.425000000000002,1.74,3.85,2020-06-03
32,Stal Mielec,Puszcza Niepołomice,D,0,0,53,47,13,7,7,4,6,3,,,22,15,5,6,,,25.0,25.0,4,7,,,,,3,3,,,,,,,108,93,85,70,1.7,4.66,3.875,2020-06-05
31,Podbeskidzie B-B,Bruk-Bet T.,H,1,0,44,56,12,3,3,1,9,2,,,12,24,0,3,,,19.0,30.0,1,2,,,,,2,1,,,,,,,85,91,52,49,1.785,4.41,3.65,2020-06-06
30,Warta Poznań,Olimpia Grudziądz,H,2,0,63,37,17,6,8,5,9,1,,,24,18,5,4,,,24.0,22.0,5,6,,,0.0,1.0,0,2,,,,,,,94,60,59,30,1.73,4.79,3.65,2020-06-06
29,Miedź Legnica,Podbeskidzie B-B,D,2,2,54,46,13,13,10,6,3,7,,,18,25,7,7,,,18.0,17.0,4,8,,,0.0,1.0,2,4,,,,,,,79,73,52,63,2.785,2.53,3.25,2020-06-12
28,Odra Opole,Warta Poznań,H,2,0,40,60,5,6,4,1,1,5,,,22,22,3,8,,,15.0,26.0,1,2,,,1.0,0.0,4,3,,,,,,,77,101,42,93,3.3,2.225,3.225,2020-06-13
27,GKS Tychy,Stal Mielec,A,2,4,41,59,14,18,7,13,7,5,,,15,22,5,12,,,17.0,25.0,9,5,,,,,0,2,,,,,,,94,94,64,111,3.585,2.0,3.55,2020-06-14
